name;dosage;form
Insulina lispro (solúvel);100 U/ml;Solução injetável em caneta pré-cheia
Insulina lispro (solúvel);100 U/ml;Solução injetável em cartucho
Insulina lispro (solúvel);200 U/ml;Solução injetável em caneta pré-cheia
Interferão alfa-2b;10 M.U.I./1 ml;Solução injetável ou para perfusão
Interferão alfa-2b;15 M.U.I./ml;Solução injetável
Interferão alfa-2b;18 M.U.I./3 ml;Solução injetável ou para perfusão
Interferão alfa-2b;25 M.U.I./2.5 ml;Solução injetável ou para perfusão
Interferão alfa-2b;25 M.U.I./ml;Solução injetável
Interferão alfa-2b;3 M.U.I./0.5 ml;Solução injetável ou para perfusão
Interferão alfa-2b;5 M.U.I./0.5 ml;Solução injetável ou para perfusão
Interferão alfa-2b;50 M.U.I./ml;Solução injetável
Interferão beta-1a;12 M.U.I./0.5 ml;Solução injetável em caneta pré-cheia
Interferão beta-1a;12 M.U.I./0.5 ml;Solução injetável em seringa pré-cheia
Interferão beta-1a;12 M.U.I./ml;Solução injetável em cartucho
Interferão beta-1a;24 M.U.I./ml;Solução injetável em cartucho
Interferão beta-1a;6 M.U.I./0.5 ml;Solução injetável em caneta pré-cheia
Interferão beta-1a;6 M.U.I./0.5 ml;Solução injetável em seringa pré-cheia
Interferão beta-1a;6 M.U.I./3 ml;Pó e solvente para solução injetável
Interferão beta-1a;Combinação;Solução injetável em caneta pré-cheia
Interferão beta-1a;Combinação;Solução injetável em cartucho
Interferão beta-1a;Combinação;Solução injetável em seringa pré-cheia
Interferão beta-1b;8 M.U.I./ml;Pó e solvente para solução injetável
Interferão gama-1b;2 M.U.I./0.5 ml;Solução injetável
Iobenguano (131I);185 - 740 MBq/ml;Solução injetável
Iobenguano (131I);370 MBq/ml;Solução injetável
Iobenguano (131I);9.25 - 18.5 MBq/ml;Solução injetável
Iobitridol;548.4 mg/ml;Solução injetável
Iobitridol;658.1 mg/ml;Solução injetável
Iobitridol;767.8 mg/ml;Solução injetável
Iodeto (131I) de sódio;0.333 - 3.7 MBq;Cápsula
Iodeto (131I) de sódio;111 MBq/ml;Solução injetável
Iodeto (131I) de sódio;37 - 5550 MBq;Cápsula
Iodeto (131I) de sódio;37 - 7400 MBq;Cápsula
Iodeto (131I) de sódio;37 - 7400 MBq/ml;Solução injetável
Iodeto (131I) de sódio;50 - 3700 MBq;Cápsula
Iodeto (131I) de sódio;74 MBq/ml;Solução injetável
Iodeto (131I) de sódio;925 MBq/ml;Solução injetável
Iodeto de potássio;0.2 mg;Comprimido
Iodeto de potássio;0.3 mg;Comprimido
Iodeto de potássio;65 mg;Comprimido
Iodeto de tibezónio;0.5 mg/ml;Solução para gargarejar
Iodeto de tibezónio;0.5 mg/ml;Solução para pulverização bucal
Iodeto de tibezónio;5 mg;Pastilha
Iodixanol;550 mg/ml;Solução injetável
Iodixanol;652 mg/ml;Solução injetável
Iodopovidona;10 mg/ml;Solução bucal
Iodopovidona;100 mg/g;Pomada
Iodopovidona;100 mg/ml;Solução cutânea
Iodopovidona;100 mg/ml;Solução para gargarejar
Iodopovidona;100 mg/ml;Solução vaginal
Iodopovidona;40 mg/ml;Espuma cutânea
Iodopovidona;40 mg/ml;Espuma vaginal
Iodopovidona;44 mg/g;Pó cutâneo
Iodopovidona;76.9 mg/ml;Solução cutânea
Iodopovidona + Etanol;200 mg + 2.88 ml;Penso impregnado
Iodopovidona + Etanol;50 mg/ml + 0.72 ml/ml;Solução cutânea
Ioflupano (123I);74 MBq/ ml;Solução injetável
Ioflupano (123I);74 MBq/ml;Solução injetável
Io-hexol;518 mg/ml;Solução injetável
Io-hexol;647 mg/ml;Solução injetável
Io-hexol;755 mg/ml;Solução injetável
Iomeprol;510.3 mg/ml;Solução injetável
Iomeprol;612.4 mg/ml;Solução injetável
Iomeprol;714.4 mg/ml;Solução injetável
Iomeprol;816.5 mg/ml;Solução injetável
Iopamidol;612.4 mg/ml;Solução injetável
Iopamidol;612.4 mg/ml;Solução oral
Iopamidol;755.3 mg/ml;Solução injetável
Iopromida;499 mg/ml;Solução injetável
Iopromida;623 mg/ml;Solução injetável
Iopromida;769 mg/ml;Solução injetável
Ioversol;509 mg/ml;Solução injetável ou para perfusão
Ioversol;636 mg/ml;Solução injetável ou para perfusão
Ioversol;678 mg/ml;Solução injetável ou para perfusão
Ioversol;741 mg/ml;Solução injetável ou para perfusão
Ipilimumab;5 mg/ml;Concentrado para solução para perfusão
Irbesartan;150 mg;Comprimido
Irbesartan;150 mg;Comprimido revestido
Irbesartan;150 mg;Comprimido revestido por película
Irbesartan;300 mg;Comprimido
Irbesartan;300 mg;Comprimido revestido
Irbesartan;300 mg;Comprimido revestido por película
Irbesartan;75 mg;Comprimido
Irbesartan;75 mg;Comprimido revestido
Irbesartan;75 mg;Comprimido revestido por película
Irbesartan + Hidroclorotiazida;150 mg + 12.5 mg;Comprimido
Irbesartan + Hidroclorotiazida;150 mg + 12.5 mg;Comprimido revestido por película
Irbesartan + Hidroclorotiazida;300 mg + 12.5 mg;Comprimido
Irbesartan + Hidroclorotiazida;300 mg + 12.5 mg;Comprimido revestido por película
Irbesartan + Hidroclorotiazida;300 mg + 25 mg;Comprimido
Irbesartan + Hidroclorotiazida;300 mg + 25 mg;Comprimido revestido por película
Irinotecano;100 mg/5 ml;Concentrado para solução para perfusão
Irinotecano;20 mg/ml;Concentrado para solução para perfusão
Irinotecano;300 mg/15 ml;Concentrado para solução para perfusão
Irinotecano;4.3 mg/ml;Concentrado para solução para perfusão
Irinotecano;40 mg/2 ml;Concentrado para solução para perfusão
Irinotecano;500 mg/25 ml;Concentrado para solução para perfusão
Isatuximab;20 mg/ml;Concentrado para solução para perfusão
Isavuconazol;100 mg;Cápsula
Isavuconazol;200 mg;Pó para concentrado para solução para perfusão
Isoconazol;10 mg/g;Creme vaginal
Isoniazida;100 mg/ml;Solução injetável
Isoniazida;300 mg;Comprimido
Isoniazida;50 mg;Comprimido
Isoniazida + Pirazinamida + Rifampicina;50 mg + 300 mg + 120 mg;Comprimido revestido
Isoniazida + Rifampicina;100 mg + 150 mg;Comprimido revestido
Isoniazida + Rifampicina;150 mg + 300 mg;Comprimido revestido
Isoprenalina;0.1 mg/1 ml;Solução injetável
Isoprenalina;0.2 mg/1 ml;Solução injetável
Isoprenalina;1 mg/1 ml;Solução injetável
Isoprenalina;2 mg/1 ml;Solução injetável
Isoprenalina;2 mg/2 ml;Solução injetável
Isotretinoína;10 mg;Cápsula mole
Isotretinoína;20 mg;Cápsula mole
Isotretinoína;30 mg;Cápsula mole
Isotretinoína;5 mg;Cápsula mole
Ispagula (tegumento) + Ispagula (semente);22 mg/g + 650 mg/g;Granulado
Isradipina;5 mg;Cápsula de libertação prolongada
Itraconazol;10 mg/ml;Solução oral
Itraconazol;100 mg;Cápsula
Itraconazol;50 mg;Cápsula
Ivabradina;5 mg;Comprimido
Ivabradina;5 mg;Comprimido revestido por película
Ivabradina;7.5 mg;Comprimido
Ivabradina;7.5 mg;Comprimido revestido por película
Ivacaftor;150 mg;Comprimido revestido por película
Ivacaftor;25 mg;Granulado
Ivacaftor;50 mg;Granulado
Ivacaftor;75 mg;Comprimido revestido por película
Ivacaftor;75 mg;Granulado
Ivacaftor + Tezacaftor + Elexacaftor;75 mg + 50 mg + 100 mg;Comprimido revestido por película
Ivermectina;10 mg/g;Creme
Ixazomib;2.3 mg;Cápsula
Ixazomib;3 mg;Cápsula
Ixazomib;4 mg;Cápsula
Ixecizumab;80 mg/1 ml;Solução injetável em caneta pré-cheia
Ixecizumab;80 mg/1 ml;Solução injetável em seringa pré-cheia
Labetalol;5 mg/ml;Solução injetável
Labetalol;5 mg/ml;Solução injetável ou para perfusão
Lacidipina;4 mg;Comprimido revestido por película
Lacosamida;10 mg/ml;Solução para perfusão
Lacosamida;10 mg/ml;Xarope
Lacosamida;100 mg;Comprimido revestido por película
Lacosamida;150 mg;Comprimido revestido por película
Lacosamida;200 mg;Comprimido revestido por película
Lacosamida;50 mg;Comprimido revestido por película
Lacosamida;Combinação;Comprimido revestido por película
Lactitol;10 g;Pó para solução oral
Lactobacillus acidophilus;5000 M.U.;Cápsula
Lactobacillus casei;1500 mg;Pó para suspensão oral
Lactobacillus casei;250 mg;Cápsula
Lactulose;10 g/15 ml;Xarope
Lactulose;666.7 mg/ml;Xarope
Lactulose;667 mg/ml;Solução oral
Lactulose;667 mg/ml;Xarope
Lactulose;670 mg/ml;Solução oral
Lactulose + Parafina líquida + Vaselina branca;Associação;Pasta oral
Lamivudina;10 mg/ml;Solução oral
Lamivudina;100 mg;Comprimido revestido
Lamivudina;100 mg;Comprimido revestido por película
Lamivudina;150 mg;Comprimido revestido por película
Lamivudina;300 mg;Comprimido revestido por película
Lamivudina;5 mg/ml;Solução oral
Lamivudina + Dolutegravir;300 mg + 50 mg;Comprimido revestido por película
Lamivudina + Zidovudina;150 mg + 300 mg;Comprimido revestido por película
Lamotrigina;100 mg;Comprimido
Lamotrigina;100 mg;Comprimido dispersível
Lamotrigina;100 mg;Comprimido dispersível ou para mastigar
Lamotrigina;2 mg;Comprimido dispersível
Lamotrigina;2 mg;Comprimido dispersível ou para mastigar
Lamotrigina;200 mg;Comprimido
Lamotrigina;200 mg;Comprimido dispersível
Lamotrigina;200 mg;Comprimido dispersível ou para mastigar
Lamotrigina;25 mg;Comprimido
Lamotrigina;25 mg;Comprimido dispersível
Lamotrigina;25 mg;Comprimido dispersível ou para mastigar
Lamotrigina;5 mg;Comprimido dispersível
Lamotrigina;5 mg;Comprimido dispersível ou para mastigar
Lamotrigina;50 mg;Comprimido
Lamotrigina;50 mg;Comprimido dispersível
Lamotrigina;50 mg;Comprimido dispersível ou para mastigar
Lanadelumab;300 mg/2 ml;Solução injetável
Lanadelumab;300 mg/2 ml;Solução injetável em seringa pré-cheia
Lanreotida;120 mg/488 mg;Solução injetável em seringa pré-cheia
Lanreotida;30 mg/2 ml;Pó e veículo para suspensão injetável de libertação prolongada
Lanreotida;60 mg/244 mg;Solução injetável em seringa pré-cheia
Lanreotida;90 mg/366 mg;Solução injetável em seringa pré-cheia
Lansoprazol;15 mg;Cápsula gastrorresistente
Lansoprazol;15 mg;Comprimido orodispersível
Lansoprazol;30 mg;Cápsula gastrorresistente
Lansoprazol;30 mg;Comprimido orodispersível
Lansoprazol;60 mg;Cápsula gastrorresistente
Lapatinib;250 mg;Comprimido revestido por película
Laronidase;100 U/ml;Concentrado para solução para perfusão
Larotrectinib;100 mg;Cápsula
Larotrectinib;20 mg/ml;Solução oral
Larotrectinib;25 mg;Cápsula
Larvas vivas de Lucilia sericata no primeiro e segundo estadios larvares;100;Larva medicinal
Larvas vivas de Lucilia sericata no primeiro e segundo estadios larvares;200;Larva medicinal
Larvas vivas de Lucilia sericata no primeiro e segundo estadios larvares;300;Larva medicinal
Larvas vivas de Lucilia sericata no primeiro e segundo estadios larvares;50;Larva medicinal
Latanoprost;0.05 mg/ml;"Colírio; solução"
Latanoprost;0.05 mg/ml;"Colírio; solução em recipiente unidose"
Latanoprost + Timolol;0.01 mg/0.2 ml + 1 mg/0.2 ml;"Colírio; solução em recipiente unidose"
Latanoprost + Timolol;0.05 mg/ml + 5 mg/ml;"Colírio; solução"
Lauromacrogol 400;10 mg/ml;Solução injetável
Lauromacrogol 400;20 mg/ml;Solução injetável
Lauromacrogol 400;30 mg/ml;Solução injetável
Lauromacrogol 400;5 mg/ml;Solução injetável
Ledipasvir + Sofosbuvir;90 mg + 400 mg;Comprimido revestido por película
Leflunomida;10 mg;Comprimido revestido por película
Leflunomida;100 mg;Comprimido revestido por película
Leflunomida;15 mg;Comprimido revestido por película
Leflunomida;20 mg;Comprimido revestido por película
Lenalidomida;10 mg;Cápsula
Lenalidomida;15 mg;Cápsula
Lenalidomida;2.5 mg;Cápsula
Lenalidomida;20 mg;Cápsula
Lenalidomida;25 mg;Cápsula
Lenalidomida;5 mg;Cápsula
Lenalidomida;7.5 mg;Cápsula
Lenograstim;13.4 M.U.I./1 ml;Pó e solvente para solução injetável ou para perfusão
Lenograstim;33.6 M.U.I./1 ml;Pó e solvente para solução injetável ou para perfusão
Lenvatinib;10 mg;Cápsula
Lenvatinib;4 mg;Cápsula
Lercanidipina;10 mg;Comprimido revestido por película
Lercanidipina;20 mg;Comprimido revestido por película
Letermovir;240 mg;Comprimido revestido por película
Letermovir;240 mg/12 ml;Concentrado para solução para perfusão
Letermovir;480 mg;Comprimido revestido por película
Letermovir;480 mg/24 ml;Concentrado para solução para perfusão
Letrozol;2.5 mg;Comprimido revestido por película
Leuprorrelina;22.5 mg;Pó e solvente para solução injetável
Leuprorrelina;22.5 mg/2 ml;Pó e veículo para suspensão injetável de libertação prolongada
Leuprorrelina;3.75 mg/2 ml;Pó e veículo para suspensão injetável
Leuprorrelina;45 mg;Pó e solvente para solução injetável
Leuprorrelina;7.5 mg;Pó e solvente para solução injetável
Levetiracetam;10 mg/ml;Solução para perfusão
Levetiracetam;100 mg/ml;Concentrado para solução para perfusão
Levetiracetam;100 mg/ml;Solução oral
Levetiracetam;1000 mg;Comprimido revestido por película
Levetiracetam;1000 mg;Granulado revestido em saqueta
Levetiracetam;15 mg/ml;Solução para perfusão
Levetiracetam;1500 mg;Comprimido revestido por película
Levetiracetam;250 mg;Comprimido revestido por película
Levetiracetam;250 mg;Granulado revestido em saqueta
Levetiracetam;5 mg/ml;Solução para perfusão
Levetiracetam;500 mg;Comprimido revestido por película
Levetiracetam;500 mg;Granulado revestido em saqueta
Levetiracetam;750 mg;Comprimido revestido por película
Levetiracetam;750 mg;Granulado revestido em saqueta
Levobupivacaína;0.625 mg/ml;Solução para perfusão
Levobupivacaína;1.25 mg/ml;Solução para perfusão
Levobupivacaína;2.5 mg/ml;Solução injetável ou para perfusão
Levobupivacaína;5 mg/ml;Solução injetável ou para perfusão
Levobupivacaína;7.5 mg/ml;Solução injetável ou para perfusão
Levocarnitina;1000 mg;Comprimido para mastigar
Levocarnitina;1000 mg/10 ml;Solução oral
Levocetirizina;0.5 mg/ml;Solução oral
Levocetirizina;5 mg;Comprimido revestido por película
Levocetirizina;5 mg/ml;"Gotas orais; solução"
Levodopa;33 mg;"Pó para inalação; cápsula"
Levodopa + Benserazida;100 mg + 25 mg;Cápsula de libertação prolongada
Levodopa + Benserazida;200 mg + 50 mg;Comprimido
Levodopa + Carbidopa;100 mg + 25 mg;Comprimido
Levodopa + Carbidopa;20 mg/ml + 5 mg/ml;Gel intestinal
Levodopa + Carbidopa;200 mg + 50 mg;Comprimido de libertação prolongada
Levodopa + Carbidopa;250 mg + 25 mg;Comprimido
Levodopa + Carbidopa + Entacapona;100 mg + 25 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;125 mg + 31.25 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;150 mg + 37.5 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;175 mg + 43.75 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;200 mg + 50 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;50 mg + 12.5 mg + 200 mg;Comprimido revestido por película
Levodopa + Carbidopa + Entacapona;75 mg + 18.75 mg + 200 mg;Comprimido revestido por película
Levodropropizina;6 mg/ml;Xarope
Levodropropizina;60 mg;Comprimido
Levodropropizina;60 mg/ml;"Gotas orais; solução"
Levofloxacina;240 mg;Solução para inalação por nebulização
Levofloxacina;250 mg;Comprimido revestido por película
Levofloxacina;5 mg/ml;"Colírio; solução"
Levofloxacina;5 mg/ml;Solução para perfusão
Levofloxacina;500 mg;Comprimido revestido por película
Levofolinato de cálcio;10 mg/ml;Solução injetável
Levofolinato de cálcio;12.5 mg;Comprimido
Levofolinato de cálcio;175 mg/17.5 ml;Solução injetável
Levofolinato de cálcio;2.5 mg;Comprimido
Levofolinato de cálcio;25 mg/2.5 ml;Solução injetável
Levofolinato de cálcio;5 mg;Comprimido
Levofolinato de cálcio;7.5 mg;Comprimido
Levofolinato dissódico;200 mg/4 ml;Solução injetável ou para perfusão
Levofolinato dissódico;450 mg/9 ml;Solução injetável ou para perfusão
Levofolinato dissódico;50 mg/1 ml;Solução injetável ou para perfusão
Levomepromazina;100 mg;Comprimido revestido
Levomepromazina;25 mg;Comprimido revestido
Levomepromazina;25 mg/1 ml;Solução injetável
Levomepromazina;40 mg/ml;"Gotas orais; solução"
Levonorgestrel;1.5 mg;Comprimido
Levonorgestrel;13.5 mg;Dispositivo de libertação intrauterino
Levonorgestrel;19.5 mg;Dispositivo de libertação intrauterino
Levonorgestrel;20 µg/24 h;Dispositivo de libertação intrauterino
Levonorgestrel;75 mg;Implante
Levossimendano;2.5 mg/ml;Concentrado para solução para perfusão
Levotiroxina sódica;0.013 mg;Comprimido
Levotiroxina sódica;0.025 mg;Comprimido
Levotiroxina sódica;0.05 mg;Comprimido
Levotiroxina sódica;0.062 mg;Comprimido
Levotiroxina sódica;0.075 mg;Comprimido
Levotiroxina sódica;0.088 mg;Comprimido
Levotiroxina sódica;0.1 mg;Comprimido
Levotiroxina sódica;0.112 mg;Comprimido
Levotiroxina sódica;0.125 mg;Comprimido
Levotiroxina sódica;0.137 mg;Comprimido
Levotiroxina sódica;0.15 mg;Comprimido
Levotiroxina sódica;0.175 mg;Comprimido
Levotiroxina sódica;0.2 mg;Comprimido
Lexidronamato de samário (153Sm);2 - 4 GBq/ml;Solução injetável
Lidocaína;10 mg/2 ml;Solução injetável
Lidocaína;10 mg/ml;Solução injetável
Lidocaína;10 mg/ml;Solução injetável em seringa pré-cheia
Lidocaína;100 mg/10 ml;Solução injetável
Lidocaína;100 mg/5 ml;Solução injetável
Lidocaína;100 mg/ml;Solução para pulverização cutânea
Lidocaína;100 mg/ml;Solução para pulverização nasal ou bucal
Lidocaína;1000 mg/50 ml;Solução injetável
Lidocaína;20 mg/g;Gel
Lidocaína;20 mg/ml;Gel bucal
Lidocaína;20 mg/ml;Solução injetável
Lidocaína;20 mg/ml;Solução injetável em seringa pré-cheia
Lidocaína;200 mg/10 ml;Solução injetável
Lidocaína;200 mg/20 ml;Solução injetável
Lidocaína;25 mg/5 ml;Solução injetável
Lidocaína;36 mg/1.8 ml;Solução injetável
Lidocaína;40 mg/2 ml;Solução injetável
Lidocaína;40 mg/g;Creme
Lidocaína;400 mg/20 ml;Solução injetável
Lidocaína;42 mg/ml;Gel intrauterino
Lidocaína;50 mg/10 ml;Solução injetável
Lidocaína;50 mg/5 ml;Solução injetável
Lidocaína;50 mg/g;Pomada
Lidocaína;50 mg/ml;Solução injetável
Lidocaína;500 mg/50 ml;Solução injetável
Lidocaína;700 mg;Emplastro medicamentoso
Lidocaína + Adrenalina;10 mg/ml + 0.018 mg/ml;Solução injetável
Lidocaína + Adrenalina;20 mg/ml + 0.01 mg/ml;Solução injetável
Lidocaína + Adrenalina;20 mg/ml + 0.018 mg/ml;Solução injetável
Lidocaína + Adrenalina;20 mg/ml + 0.02 mg/ml;Solução injetável
Lidocaína + Adrenalina;36 mg/1.8 ml + 0.04 mg/1.8 ml;Solução injetável
Lidocaína + Adrenalina;36 mg/1.8ml + 0.0225 mg/1.8ml;Solução injetável
Lidocaína + Cloro-hexidina;1 mg + 5 mg;Comprimido para chupar
Lidocaína + Cloro-hexidina;20 mg/g + 0.5 mg/g;Gel uretral
Lidocaína + Prilocaína;150 mg/ml + 50 mg/ml;Solução para pulverização cutânea
Lidocaína + Prilocaína;25 mg/g + 25 mg/g;Creme
Lidocaína + Prilocaína;25 mg/g + 25 mg/g;Penso impregnado
Lidocaína + Tetracaína;70 mg + 70 mg;Emplastro medicamentoso
Lidocaína + Tetracaína;70 mg/g + 70 mg/g;Creme
Limeciclina;408 mg;Cápsula
Linaclotida;290 µg;Cápsula
Linagliptina;5 mg;Comprimido revestido por película
Linezolida;20 mg/ml;Granulado para suspensão oral
Linezolida;600 mg;Comprimido revestido por película
Linezolida;600 mg/300 ml;Solução para perfusão
Lipegfilgrastim;6 mg/0.6 ml;Solução injetável
Lípidos;100 mg/ml + 100 mg/ml;Emulsão para perfusão
Lípidos;50 mg/ml + 50 mg/ml;Emulsão para perfusão
Lípidos;Associação;Emulsão para perfusão
Liraglutido;6 mg/ml;Solução injetável em caneta pré-cheia
Lisado de Escherichia coli;6 mg;Cápsula
Lisados polibacterianos;3 mg;Comprimido
Lisados polibacterianos;3.5 mg;Cápsula
Lisados polibacterianos;3.5 mg;Granulado
Lisados polibacterianos;7 mg;Cápsula
Lisados polibacterianos;Associação;Suspensão oral
Lisina + Arginina;25 g + 25 g;Solução para perfusão
Lisinopril;10 mg;Comprimido
Lisinopril;20 mg;Comprimido
Lisinopril;5 mg;Comprimido
Lisinopril + Amlodipina;10 mg + 5 mg;Comprimido
Lisinopril + Amlodipina;20 mg + 10 mg;Comprimido
Lisinopril + Amlodipina;20 mg + 5 mg;Comprimido
Lisinopril + Hidroclorotiazida;10 mg + 12.5 mg;Comprimido
Lisinopril + Hidroclorotiazida;20 mg + 12.5 mg;Comprimido
Lítio;400 mg;Comprimido de libertação modificada
Lixisenatido;(10 µg/0.2 ml)+(20 µg/0.2 ml);Solução injetável
Lixisenatido;10 µg/0.2 ml;Solução injetável
Lixisenatido;20 µg/0.2 ml;Solução injetável
Loflazepato de etilo;2 mg;Comprimido revestido
Lomitapida;10 mg;Cápsula
Lomitapida;20 mg;Cápsula
Lomitapida;30 mg;Cápsula
Lomitapida;40 mg;Cápsula
Lomitapida;5 mg;Cápsula
Lomitapida;60 mg;Cápsula
Lonoctocog alfa;1000 U.I./2.5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;1500 U.I./5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;2000 U.I./5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;250 U.I./2.5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;2500 U.I./5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;3000 U.I./5 ml;Pó e solvente para solução injetável
Lonoctocog alfa;500 U.I./2.5 ml;Pó e solvente para solução injetável
Loperamida;0.2 mg/ml;Solução oral
Loperamida;2 mg;Cápsula
Loperamida;2 mg;Comprimido
Loperamida;2 mg;Comprimido orodispersível
Loperamida;2 mg;Comprimido revestido
Loperamida + Simeticone;2 mg + 125 mg;Comprimido
Lopinavir + Ritonavir;100 mg + 25 mg;Comprimido revestido por película
Lopinavir + Ritonavir;200 mg + 50 mg;Comprimido revestido por película
Lopinavir + Ritonavir;80 mg/ml + 20 mg/ml;Solução oral
Loprazolam;1 mg;Comprimido
Loratadina;1 mg/ml;Xarope
Loratadina;10 mg;Comprimido
Loratadina;10 mg;Comprimido revestido por película
Loratadina;10 mg;Liofilizado oral
Loratadina + Pseudoefedrina;10 mg + 240 mg;Comprimido de libertação prolongada
Loratadina + Pseudoefedrina;5 mg + 120 mg;Comprimido de libertação modificada
Lorazepam;1 mg;Comprimido
Lorazepam;1 mg;Comprimido orodispersível
Lorazepam;2 mg/1 ml;Solução injetável
Lorazepam;2.5 mg;Comprimido
Lorazepam;2.5 mg;Comprimido orodispersível
Lorazepam;20 mg/10 ml;Solução injetável
Lorazepam;4 mg/1 ml;Solução injetável
Lorazepam;40 mg/10 ml;Solução injetável
Lorazepam;5 mg;Comprimido
Lorlatinib;100 mg;Comprimido revestido por película
Lorlatinib;25 mg;Comprimido revestido por película
Lornoxicam;4 mg;Comprimido revestido por película
Lornoxicam;8 mg;Comprimido revestido por película
Lornoxicam;8 mg/2 ml;Pó e solvente para solução injetável
Losartan;100 mg;Comprimido revestido
Losartan;100 mg;Comprimido revestido por película
Losartan;12.5 mg;Comprimido revestido por película
Losartan;25 mg;Comprimido revestido por película
Losartan;50 mg;Comprimido revestido
Losartan;50 mg;Comprimido revestido por película
Losartan + Amlodipina;100 mg + 10 mg;Comprimido revestido por película
Losartan + Amlodipina;100 mg + 5 mg;Comprimido revestido por película
Losartan + Amlodipina;50 mg + 10 mg;Comprimido revestido por película
Losartan + Amlodipina;50 mg + 5 mg;Comprimido revestido por película
Losartan + Hidroclorotiazida;100 mg + 12.5 mg;Comprimido revestido por película
Losartan + Hidroclorotiazida;100 mg + 25 mg;Comprimido revestido por película
Losartan + Hidroclorotiazida;50 mg + 12.5 mg;Comprimido revestido
Losartan + Hidroclorotiazida;50 mg + 12.5 mg;Comprimido revestido por película
Lovastatina;10 mg;Comprimido
Lovastatina;20 mg;Comprimido
Lovastatina;40 mg;Comprimido
Loxapina;4.5 mg;Pó para inalação em recipiente unidose
Loxapina;9.1 mg;Pó para inalação em recipiente unidose
Lumacaftor + Ivacaftor;100 mg + 125 mg;Comprimido revestido por película
Lumacaftor + Ivacaftor;100 mg + 125 mg;Granulado em saqueta
Lumacaftor + Ivacaftor;150 mg + 188 mg;Granulado em saqueta
Lumacaftor + Ivacaftor;200 mg + 125 mg;Comprimido revestido por película
Lurasidona;18.5 mg;Comprimido revestido por película
Lurasidona;37 mg;Comprimido revestido por película
Lurasidona;74 mg;Comprimido revestido por película
Luspatercept;25 mg;Pó para solução para perfusão
Luspatercept;75 mg;Pó para solução para perfusão
Lusutrombopag;3 mg;Comprimido revestido por película
Lutropina alfa;75 U.I./1 ml;Pó e solvente para solução injetável
Maçã reineta + Manitol + Sene;Associação;Xarope
Macimorelina;60 mg;Granulado para suspensão oral em saqueta
Macitentano;10 mg;Comprimido revestido por película
Macrogol;10000 mg;Pó para solução oral
Macrogol;10000 mg;Pó para solução oral em saqueta
Macrogol;10000 mg/20 ml;Solução oral em saqueta
Macrogol;4000 mg;Pó para solução oral
Macrogol;4000 mg;Pó para solução oral em saqueta
Macrogol;500 mg/ml;Solução oral
Macrogol + Bicarbonato de sódio + Cloreto de potássio + Cloreto de sódio;Associação;Concentrado para solução oral
Macrogol + Bicarbonato de sódio + Cloreto de potássio + Cloreto de sódio;Associação;Pó para solução oral
Macrogol + Bicarbonato de sódio + Cloreto de potássio + Cloreto de sódio;Associação;Solução oral em saqueta
Macrogol e outras associações;Associação;Pó para solução oral
Macrogol e outras associações;Associação;Pó para solução oral em saqueta
Magaldrato;800 mg;Comprimido
Magaldrato;800 mg/10 ml;Gel oral
Manitol;100 mg/ml;Solução para perfusão
Manitol;200 mg/ml;Solução para perfusão
Manitol;40 mg;"Pó para inalação; cápsula"
Manitol + Sorbitol;175 mg/ml + 25 mg/ml;Solução para perfusão
Maprotilina;25 mg;Comprimido revestido
Maprotilina;25 mg;Comprimido revestido por película
Maprotilina;50 mg;Comprimido revestido
Maprotilina;50 mg;Comprimido revestido por película
Maprotilina;75 mg;Comprimido revestido
Maprotilina;75 mg;Comprimido revestido por película
Maraviroc;150 mg;Comprimido revestido por película
Maraviroc;20 mg/ml;Solução oral
Maraviroc;25 mg;Comprimido revestido por película
Maraviroc;300 mg;Comprimido revestido por película
Maraviroc;75 mg;Comprimido revestido por película
Mebendazol;100 mg;Comprimido
Mebendazol;20 mg/ml;Suspensão oral
Mebeverina;200 mg;Cápsula de libertação modificada
Mebeverina;200 mg;Cápsula de libertação prolongada
Mecassermina;10 mg/ml;Solução injetável
Medroxiprogesterona;150 mg/ml;Suspensão injetável
Medroxiprogesterona;250 mg;Comprimido
Medroxiprogesterona;5 mg;Comprimido
Medroxiprogesterona + Valerato de estradiol;(2 mg) + (10 mg + 2 mg);Comprimido
Mefloquina;250 mg;Comprimido revestido
Megestrol;160 mg;Comprimido
Megestrol;40 mg/ml;Suspensão oral
Melatonina;1 mg;Comprimido de libertação prolongada
Melatonina;2 mg;Comprimido de libertação prolongada
Melatonina;3 mg;Comprimido revestido por película
Melatonina;5 mg;Comprimido de libertação prolongada
Melfalano;2 mg;Comprimido revestido por película
Melfalano;50 mg/10 ml;Pó e solvente para solução injetável ou para perfusão
